product_code,bundle_code,total_sales,total_units,total_cost,gross_margin,gross_margin_pct
 astropapa,,45915.0,435,0.0,0.0,0.0
 brownie,,7000.0,175,0.0,0.0,0.0
 burger_chicken,,14295.0,178,0.0,0.0,0.0
 burger_chicken_double,,345.0,3,0.0,0.0,0.0
 burger_double_cheese,,274161.0,2608,0.0,0.0,0.0
 burger_plain,,9080.0,121,0.0,0.0,0.0
 burger_plain_double,,4331.0,40,0.0,0.0,0.0
 extra_avocado,,2340.0,156,3021.7200000000003,-681.7200000000001,-0.2913333333333334
 extra_cheese,,835.0,57,0.0,0.0,0.0
 extra_cheese_slice,,10.0,2,0.0,0.0,0.0
 extra_chicken,,45.0,1,0.0,0.0,0.0
 extra_meat,,4240.0,94,0.0,0.0,0.0
 extra_pickles,,280.0,28,0.0,0.0,0.0
 fries_half,,17904.0,414,0.0,0.0,0.0
 hotdog,,18156.0,465,0.0,0.0,0.0
 palomas_beef,,9199.0,82,0.0,0.0,0.0
 palomas_pork,,8185.0,73,0.0,0.0,0.0
 soda,,25355.0,883,17026.23,8188.7699999999995,0.3229647012423585
 tornillos,,29922.0,264,0.0,0.0,0.0
 torta_beef,,20601.0,183,0.0,0.0,0.0
 torta_pork,,69566.0,619,0.0,0.0,0.0
burger_cheese,,303905.0,4121,114357.75,189547.25,0.6237055987890953
fries_full,,173095.0,3046,60920.0,112175.0,0.648054536526185
soda,,105.0,3,58.11,46.89,0.44657142857142856
,bundle_1,946292.744,6798,456281.76,490010.984,0.5178217703844087
,bundle_10,37062.0,248,15366.08,21695.92,0.5853952835788678
,bundle_11,99476.0,184,49459.200000000004,50016.799999999996,0.5028026860750331
,bundle_12,48889.0,181,24326.4,24562.6,0.5024156763280083
,bundle_13,510.0,2,207.84,302.15999999999997,0.5924705882352941
,bundle_16,547.0,3,230.88,316.12,0.5779159049360146
,bundle_2,904774.0,5336,465726.08,439047.92,0.4852570034063755
,bundle_3,362047.0,1473,168275.52,193771.47999999998,0.5352108427911293
,bundle_4_beef_beef,9729.0,31,4134.47,5594.53,0.5750364888477747
,bundle_4_pork_beef,7877.0,25,3334.25,4542.75,0.5767106766535484
,bundle_4_pork_pork,46506.0,148,19738.760000000002,26767.239999999998,0.5755653034017115
,bundle_5,364535.0,1175,181608.0,182927.0,0.5018091541278615
,bundle_6_beef,32290.0,184,15892.080000000002,16397.92,0.5078327655620934
,bundle_6_pork,148636.5375,859,74191.83,74444.70749999999,0.5008506572618457
,bundle_7,33225.675,191,18433.41,14792.265,0.4452058536056829
,bundle_8,24945.0,279,16999.47,7945.53,0.3185219482862297
,bundle_9,25870.0,200,11684.0,14186.0,0.5483571704677233
,,6886.0,44,0.0,0.0,0.0
