bundle_code,component_type,component_code,quantity,active
bundle_1,product,burger_cheese,1,1
bundle_1,side,fries_full,1,1
bundle_1,drink_expected,soda_expected,1,1

bundle_2,product,burger_double_cheese,1,1
bundle_2,side,fries_full,1,1
bundle_2,drink_expected,soda_expected,1,1

bundle_3,product,burger_cheese,2,1
bundle_3,side,fries_full,1,1
bundle_3,drink_expected,soda_expected,2,1

bundle_4_pork_pork,product,torta_pork,2,1
bundle_4_pork_pork,side,fries_full,1,1
bundle_4_pork_pork,drink_expected,soda_expected,1,1

bundle_4_pork_beef,product,torta_pork,1,1
bundle_4_pork_beef,product,torta_beef,1,1
bundle_4_pork_beef,side,fries_full,1,1
bundle_4_pork_beef,drink_expected,soda_expected,1,1

bundle_4_beef_beef,product,torta_beef,2,1
bundle_4_beef_beef,side,fries_full,1,1
bundle_4_beef_beef,drink_expected,soda_expected,1,1

bundle_5,product,burger_double_cheese,2,1
bundle_5,side,fries_full,1,1
bundle_5,drink_expected,soda_expected,2,1

bundle_6_pork,product,torta_pork,1,1
bundle_6_pork,side,fries_full,1,1
bundle_6_pork,drink_expected,soda_expected,1,1

bundle_6_beef,product,torta_beef,1,1
bundle_6_beef,side,fries_full,1,1
bundle_6_beef,drink_expected,soda_expected,1,1

bundle_7,product,tornillos,1,1
bundle_7,side,fries_full,1,1
bundle_7,drink_expected,soda_expected,1,1

bundle_8,product,hotdog,1,1
bundle_8,side,fries_full,1,1
bundle_8,drink_expected,soda_expected,1,1

bundle_9,product,astropapa,1,1
bundle_9,drink_expected,soda_expected,1,1

bundle_10,product,burger_chicken,1,1
bundle_10,drink_expected,soda_expected,1,1
bundle_10,side,fries_full,1,1

bundle_11,product,burger_cheese,2,1
bundle_11,product,burger_double_cheese,2,1
bundle_11,side,fries_full,2,1
bundle_11,drink_expected,soda_expected,4,1

bundle_12,product,burger_double_cheese,1,1
bundle_12,product,burger_cheese,1,1
bundle_12,side,fries_full,1,1
bundle_12,drink_expected,soda_expected,2,1

bundle_13,product,burger_chicken,2,1
bundle_13,side,fries_full,1,1
bundle_13,drink_expected,soda_expected,2,1

bundle_15,product,burger_chicken_double,2,1
bundle_15,side,fries_full,1,1
bundle_15,drink_expected,soda_expected,2,1

bundle_16,product,burger_chicken_double,1,1
bundle_16,side,fries_full,1,1
bundle_16,drink_expected,soda_expected,1,1

bundle_palomas_beef,product,palomas_beef,1,1
bundle_palomas_beef,side,fries_full,1,1
bundle_palomas_beef,drink_expected,soda_expected,1,1

bundle_palomas_pork,product,palomas_pork,1,1
bundle_palomas_pork,side,fries_full,1,1
bundle_palomas_pork,drink_expected,soda_expected,1,1
