ingredient_group,ingredient_name,package_price,package_units,unit_cost,cost_confidence,active
Carne,Carne Res (Paq C/60 pz),1008,60,16.8,high,1
Carne,Pollo pieza,15,1,15,high,1
Carne,Pierna (Bolsa c/10 rac),400,10,40,high,1
Carne,Ternera (Bolsa c/10 rac),400,10,40,high,1
Carne,Tornillos (Bolsa c/7 ordenes),400,7,57.14,high,1
Pan/Tortilla,Pan Hamburguesa,45.55,6,7.59,high,1
Pan/Tortilla,Pan Hotdog,38.11,8,4.76,high,1
Pan/Tortilla,Pan Torta,7,1,7,high,1
Lácteos,Queso Rebanada Amarillo Caja c/400 pz,1344,400,3.36,high,1
Lácteos,Queso en Barra 907g,147,1,147,high,1
Lácteos,Mantequilla,124,1,124,high,1
Lácteos,Crema 250g,23,1,23,high,1
Postres,Brownie,20,1,20,high,1
Sides,Papas Francesas,20,1,20,low,1
Sides,Papas Media Orden,15,1,15,low,1
