product_code,unit_cost,cost_confidence,source
astropapa,39.05,high,recipe
brownie,20.0,high,recipe
burger_cheese,27.75,high,recipe
burger_chicken,22.59,high,recipe
burger_chicken_double,37.59,high,recipe
burger_double_cheese,47.91,high,recipe
burger_plain,24.39,high,recipe
burger_plain_double,41.19,high,recipe
extra_cheese,18.38,high,recipe
extra_meat,16.8,high,recipe
fries_full,20.0,low,recipe
fries_half,15.0,low,recipe
hotdog,8.73,high,recipe
palomas_beef,40.0,high,recipe
palomas_pork,40.0,high,recipe
tornillos,57.14,high,recipe
torta_beef,47.0,high,recipe
torta_pork,47.0,high,recipe
