fecha,ventas_efectivo,ventas_tarjeta,ventas_app,gastos_caja,ventas_sistema
2025-10-01,8342,18324,1867,3021,31548
2025-10-02,12991,11703,1419,1615,28002
2025-10-03,17811,45606,4888,1820,48615
2025-10-04,17492,20092,2576,2630,42790
2025-10-05,15042,21848,5282,3964,10008448
2025-10-06,7728,8098,1127,845,17763
2025-10-07,2556,11079,1325,4860,19725
2025-10-08,8834,11684,1321,1767,23572
2025-10-09,10094,12730,1424,587,24787
2025-10-10,16020,20807,3862,2004,43399
2025-10-11,16326,22254,1422,4662,44665
2025-10-12,19350,28296,4479,2702,55319
2025-10-13,8500,11956,796,925,22260
2025-10-14,5855,9751,792,2698,19094
2025-10-15,10817,14742,1337,2508,29251
2025-10-16,8876,18228,1323,2760,31207
2025-10-17,13228,19772,971,2298,36019
2025-10-18,13708,17390,3309,6985,40741
2025-10-19,21175,21261,3010,4163,49925
2025-10-20,8166,9237,1352,2096,20529
2025-10-21,4235,6175,1820,2315,14481
2025-10-22,9579,17017,1662,2883,30603
2025-10-23,7144,16282,2792,2552,28812
2025-10-24,13753,19886,2788,3491,39790
2025-10-25,13610,27659,1676,6571,49040
2025-10-26,15852,24627,4049,4050,48609
2025-10-27,6247,8330,497,3576,18670
2025-10-28,7691,11875,1309,2540,23523
2025-10-29,5530,8640,1340,1508,17609
2025-10-30,4978,16229,2439,6191,29840
2025-10-31,21605,24139,1794,3439,51810
2025-11-01,11620,26060,3186,5332,46156
2025-11-02,19737,33794,2615,2550,58741
2025-11-03,8826,8570,806,4101,22399
2025-11-04,5640,9710,791,2447,18557
2025-11-05,7205,14505,1270,1477,24552
2025-11-06,13680,16660,1868,1945,34187
2025-11-07,17182,17436,3168,3464,41196
2025-11-08,16950,24590,1703,5941,49184
2025-11-09,16625,25019,1547,4495,47377
2025-11-10,7747,11332,1412,2006,22297
2025-11-11,7811,12260,568,2957,23592
2025-11-12,9104,12215,2605,3532,27397
2025-11-13,12319,13202,2351,1550,29417
2025-11-14,16244,24155,1835,2183,44466
2025-11-15,14357,29869,2800,4936,51835
2025-11-16,11839,26573,3736,4847,46559
2025-11-17,14073,25163,3841,4061,47132
2025-11-18,5912,10596,1126,3578,21217
2025-11-19,7235,17152,2079,3694,30134
2025-11-20,15556,13217,1286,2194,32258
2025-11-21,14106,19427,2468,3790,39768
2025-11-22,18794,23843,3615,4800,52145
2025-11-23,16750,28376,3619,4807,53638
