fecha,descripcion,categoria,proveedor,monto,elaboro
2025-10-01,Verdura,Insumos,Frutas Luis,120,Julián Anzaldúa Guitrón
2025-10-01,Envio (Coss),Transporte,Transporte (checar),111,Julián Anzaldúa Guitrón
2025-10-01,Vasos y coca,Consumo empleados,Seven Eleven,80,Julián Anzaldúa Guitrón
2025-10-01,Nelson,Empleados / Mano de obra,Sueldo Nelson,400,Julián Anzaldúa Guitrón
2025-10-01,Coca,Consumo empleados,Seven Eleven,58,Julián Anzaldúa Guitrón
2025-10-01,Market,Servicios / Mantenimiento,Market,1500,Julián Anzaldúa Guitrón
2025-10-01,Hielo,Insumos,Seven Eleven,52,Julián Anzaldúa Guitrón
2025-10-01,Taxi,Transporte,Didi,200,Julián Anzaldúa Guitrón
2025-10-01,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-02,Verdura,Insumos,Frutas Luis,600,Julián Anzaldúa Guitrón
2025-10-02,Rollo,Consumo empleados,Seven Eleven,35,Julián Anzaldúa Guitrón
2025-10-02,Pan y tortillas,Insumos,Fresh,240,Julián Anzaldúa Guitrón
2025-10-02,Vasos y coca,Consumo empleados,Seven Eleven,85,Julián Anzaldúa Guitrón
2025-10-02,Hielo,Insumos,Seven Eleven,55,julián Anzaldúa Guitrón
2025-10-02,Taxi,Transporte,Taxi Julio,100,Julián Anzaldúa Guitrón
2025-10-02,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-03,Checo,Empleados / Mano de obra,Préstamo Checo,100,Julián Anzaldúa Guitrón
2025-10-03,Coca,Consumo empleados,Seven Eleven,65,Julián Anzaldúa Guitrón
2025-10-03,Pan y verdura,Insumos,Fresh y Frutas Luis,750,Julián Anzaldúa Guitrón
2025-10-03,Hielo,Insumos,Seven Eleven,105,Julián Anzaldúa Guitrón
2025-10-03,Taxi,Transporte,Taxi Julio,100,Julián Anzaldúa Guitrón
2025-10-03,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-03,Julio,Empleados / Mano de obra,Préstamo Julio,200,Julián Anzaldúa Guitrón
2025-10-04,Verdura,Insumos,Frutas Luis,580,Julián Anzaldúa Guitrón
2025-10-04,Sal y pinol,Insumos,Seven Eleven,58,Julián Anzaldúa Guitrón
2025-10-04,Propina papá,Transporte,Taxi,50,Julián Anzaldúa Guitrón
2025-10-04,Coca,Consumo empleados,Seven Eleven,56,Julián Anzaldúa Guitrón
2025-10-04,Checo,Empleados / Mano de obra,Préstamo Checo,150,Julián Anzaldúa Guitrón
2025-10-04,Coca,Consumo empleados,Seven Eleven,48,Julián Anzaldúa Guitrón
2025-10-04,Vaso,Consumo empleados,Seven Eleven,38,Julián Anzaldúa Guitrón
2025-10-04,Hielo,Insumos,Seven Eleven,150,Julián Anzaldúa Guitrón
2025-10-04,Rona,Empleados / Mano de obra,Sueldo Rona,1200,Julián Anzaldúa Guitrón
2025-10-04,Taxi Julio,Transporte,Taxi Julio,100,Julián Anzaldúa Guitrón
2025-10-04,Taxi Juan,Transporte,Taxi Juan,100,Julián Anzaldúa Guitrón
2025-10-04,Taxi Rona,Transporte,Taxi Rona,100,Julián Anzaldúa Guitrón
2025-10-05,Envio (Coss),Transporte,Taxi,111,Julián Anzaldúa Guitrón
2025-10-05,Julio,Empleados / Mano de obra,Préstamo Julio,100,Julián Anzaldúa Guitrón
2025-10-05,Coca,Consumo empleados,Seven Eleven,50,Julián Anzaldúa Guitrón
2025-10-05,Cena,Consumo empleados,Boneless / Rappi,735,Julián Anzaldúa Guitrón
2025-10-05,Transporte pedido grande,Transporte,Goyo,600,Julián Anzaldúa Guitrón
2025-10-05,Papel,Consumo empleados,Seven Eleven,41,Julián Anzaldúa Guitrón
2025-10-05,Chamuco,Consumo empleados,Chamuco,150,Julián Anzaldúa Guitrón
2025-10-05,Pan,Insumos,Fresh,78,Julián Anzaldúa Guitrón
2025-10-05,Rona,Empleados / Mano de obra,Sueldo Rona (?),500,Julián Anzaldúa Guitrón
2025-10-05,Hielo,Insumos,Seven Eleven,50,Julián Anzaldúa Guitrón
2025-10-05,Chamuco a casa de mi papá,Transporte,Goyo,150,Julián Anzaldúa Guitrón
2025-10-05,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-05,Julián,Pagos personales,Conchilu,800,Julián Anzaldúa Guitrón
2025-10-06,Coca y vasos,Consumo empleados,Seven Eleven,85,Julián Anzaldúa Guitrón
2025-10-06,Sacar la basura,Servicios / Mantenimiento,Poncho,200,Julián Anzaldúa Guitrón
2025-10-06,Hielo,Insumos,Seven Eleven,60,Julián Anzaldúa Guitrón
2025-10-06,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-07,Coca,Consumo empleados,Seven Eleven,50,Julián Anzaldúa Guitrón
2025-10-07,Tortuga,Insumos,Chica tortuga,420,Julián Anzaldúa Guitrón
2025-10-07,Checo,Empleados / Mano de obra,Préstamo Checo,250,Julián Anzaldúa Guitrón
2025-10-07,Julio,Empleados / Mano de obra,Sueldo Julio,1200,Julián Anzaldúa Guitrón
2025-10-07,Brownies,Insumos,Chica brownie,400,Julián Anzaldúa Guitrón
2025-10-07,Coca,Consumo empleados,Seven Eleven,50,Julián Anzaldúa Guitrón
2025-10-07,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-07,Fumigación,Servicios / Mantenimiento,Fumigador,850,Julián Anzaldúa Guitrón
2025-10-07,Teléfono,Servicios / Mantenimiento,Telmex,700,Julián Anzaldúa Guitrón
2025-10-07,Pan y estopa,Insumos,Fresh,380,Julián Anzaldúa Guitrón
2025-10-07,Hielo,Insumos,Seven Eleven,60,Julián Anzaldúa Guitrón
2025-10-07,Coca,Consumo empleados,Seven Eleven,45,Julián Anzaldúa Guitrón
2025-10-07,Checo,Empleados / Mano de obra,Préstamo Checo,50,Julián Anzaldúa Guitrón
2025-10-07,Market,Servicios / Mantenimiento,Market,750,Julián Anzaldúa Guitrón
2025-10-07,Coca,Consumo empleados,Seven Eleven,48,Julián Anzaldúa Guitrón
2025-10-07,Vasos,Consumo empleados,Seven Eleven,28,Julián Anzaldúa Guitrón
2025-10-07,Papel,Consumo empleados,Seven Eleven,41,Julián Anzaldúa Guitrón
2025-10-08,Coca,Consumo empleados,Seven Eleven,45,Julián Anzaldúa Guitrón
2025-10-08,Checo,Empleados / Mano de obra,Préstamo Checo,50,Julián Anzaldúa Guitrón
2025-10-08,Market,Servicios / Mantenimiento,Market,750,Julián Anzaldúa Guitrón
2025-10-08,Coca,Consumo empleados,Seven Eleven,48,Julián Anzaldúa Guitrón
2025-10-08,Vasos,Consumo empleados,Seven Eleven,28,Julián Anzaldúa Guitrón
2025-10-08,Papel,Consumo empleados,Seven Eleven,41,Julián Anzaldúa Guitrón
2025-10-08,Taxis,Transporte,Taxis varios,200,Julián Anzaldúa Guitrón
2025-10-08,Hielo,Insumos,Seven Eleven,105,Julián Anzaldúa Guitrón
2025-10-08,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-09,Coca,Consumo empleados,Seven Eleven,50,Julián Anzaldúa Guitrón
2025-10-09,Tortillas,Consumo empleados,Tortillería,37,Julián Anzaldúa Guitrón
2025-10-09,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-10,Checo,Empleados / Mano de obra,Préstamo Checo,100,Julián Anzaldúa Guitrón
2025-10-10,Coca y vasos,Consumo empleados,Seven Eleven,85,Julián Anzaldúa Guitrón
2025-10-10,Verdura,Insumos,Frutas Luis,560,Julián Anzaldúa Guitrón
2025-10-10,Pan,Insumos,Fresh,55,Julián Anzaldúa Guitrón
2025-10-10,Hielo,Insumos,Seven Eleven,104,Julián Anzaldúa Guitrón
2025-10-10,Gasolina,Transporte,Cristy,500,Julián Anzaldúa Guitrón
2025-10-10,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-10,Taxi Rona,Transporte,Taxi Rona,100,Julián Anzaldúa Guitrón
2025-10-11,Verdura,Insumos,Frutas Luis,560,Julián Anzaldúa Guitrón
2025-10-11,Agua,Consumo empleados,Seven Eleven,216,Julián Anzaldúa Guitrón
2025-10-11,Propina papá,Transporte,Envio de Coss,50,Julián Anzaldúa Guitrón
2025-10-11,Coca,Consumo empleados,Seven Eleven,45,Julián Anzaldúa Guitrón
2025-10-11,Coca,Consumo empleados,Seven Eleven,48,Julián Anzaldúa Guitrón
2025-10-11,Devolución de palomas,Devolución,Astro Burger,112,Julián Anzaldúa Guitrón
2025-10-11,Checo,Empleados / Mano de obra,Préstamo Checo,100,Julián Anzaldúa Guitrón
2025-10-11,Sueldo,Empleados / Mano de obra,Sueldo de alguien,3040,Julián Anzaldúa Guitrón
2025-10-11,Papel,Consumo empleados,Seven Eleven,41,Julián Anzaldúa Guitrón
2025-10-11,Coca,Consumo empleados,Seven Eleven,47,Julián Anzaldúa Guitrón
2025-10-11,Taxis,Transporte,Taxis varios,300,Julián Anzaldúa Guitrón
2025-10-12,Papas a la francesa,Devolución,Astro Burger,58,Julián Anzaldúa Guitrón
2025-10-12,Coca y vasos,Consumo empleados,Seven Eleven,75,Julián Anzaldúa Guitrón
2025-10-12,Julián,Pagos personales,Seven Eleven,126,Julián Anzaldúa Guitrón
2025-10-12,Chiles (coss),Transporte,Taxi,111,Julián Anzaldúa Guitrón
2025-10-12,Tenedores,Insumos,Walmart,35,Julián Anzaldúa Guitrón
2025-10-12,Rona,Empleados / Mano de obra,Préstamo Rona,50,Julián Anzaldúa Guitrón
2025-10-12,Coca,Consumo empleados,Seven Eleven,47,Julián Anzaldúa Guitrón
2025-10-12,Cena,Consumo empleados,Boneless / Rappi,600,Julián Anzaldúa Guitrón
2025-10-12,Daniela,Empleados / Mano de obra,Préstamo Daniela,150,Julián Anzaldúa Guitrón
2025-10-12,Rona,Empleados / Mano de obra,Sueldo Rona,800,Julián Anzaldúa Guitrón
2025-10-12,Taxi Rona,Transporte,Taxi Rona,100,Julián Anzaldúa Guitrón
2025-10-12,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-12,Hielo,Insumos,Seven Eleven,50,Julián Anzaldúa Guitrón
2025-10-13,Varios,Otro,Desconocido,200,Julián Anzaldúa Guitrón
2025-10-13,Vaso y cocas,Consumo empleados,Seven Eleven,75,Julián Anzaldúa Guitrón
2025-10-13,Taxi Nicole,Transporte,Taxi,100,Julián Anzaldúa Guitrón
